Title,Society,Area_marla,Price_clean,Price_per_marla,Price_per_marla_formatted,Bedrooms,Bathrooms,Date_Posted_clean
ACTUALLY 25 MARLA DOUBLE UNIT LUXURIOUS & GRACEFUL HOUSE AVAILABLE FOR SALE,DHA Phase 6 - Block F,20.0,81500000.0,4075000.0,40.75 Lakh,6,7,2025-07-27
3 Years Installment Plan Luxury Brand New House In Park View City Lahore,Park View City,5.0,15000000.0,3000000.0,30.00 Lakh,4,5,2025-07-25
5 Marla Luxury House In Rose Block Of Park-View City Is Up For SALE At Best Price,Park View City - Rose Block,5.0,24000000.0,4800000.0,48.00 Lakh,4,4,2025-07-25
Full Basement 1 kanal Brand New Luxury House Nearby DHA Raya in S Block Phase 7 DHA Lahore,DHA Phase 7 - Block S,20.0,75000000.0,3750000.0,37.50 Lakh,5,6,2025-07-25
1 Kanal Dream Home With Private Pool In DHA Phase 6 A True Showstopper,DHA Phase 6,20.0,69500000.0,3475000.0,34.75 Lakh,6,7,2025-07-25
3 Years Installments Plan 5 Marla Brand New House For Sale In Park View City,Park View City,5.0,15000000.0,3000000.0,30.00 Lakh,4,5,2025-07-27
Ultra Modern - 10 Marla Brand New House - Prime Location - Valencia Town,Valencia Housing Society,10.0,49500000.0,4950000.0,49.50 Lakh,5,6,2025-07-25
01 KANAL MODREN HOUSE ON 150 FEET MAIN ROAD DHA PHASE 6,DHA Phase 6,20.0,140000000.0,7000000.0,70.00 Lakh,6,6,2025-07-25
Prime Location 2 Kanal House For sale In DHA Phase 2 - Block R Lahore,DHA Phase 2 - Block R,40.0,165000000.0,4125000.0,41.25 Lakh,6,6,2025-07-25
Prime Location House Is Available For sale In Eden Boulevard Housing Scheme,Eden Boulevard Housing Scheme,5.0,20000000.0,4000000.0,40.00 Lakh,3,4,2025-07-25
5 Marla Beautiful House For Sale In Eastern Housing Society Lahore Near Head Office,Eastern Housing Lahore,5.0,21000000.0,4200000.0,42.00 Lakh,4,5,2025-07-25
5 Marla Good Condition Carefully Used House For Sale in JJ Block Phase 4 DHA Lahore,DHA Phase 4 - Block JJ,5.0,27900000.0,5580000.0,55.80 Lakh,3,3,2025-07-25
Brand New - Modern Designer House - 10 Marla - DHA Phase 6,DHA Phase 6 - Block A,10.0,62500000.0,6250000.0,62.50 Lakh,4,5,2025-07-25
Most Wanted 10-Marla Luxurious Modern House For Sale in Tariq Gardens,Tariq Gardens,10.0,56000000.0,5600000.0,56.00 Lakh,5,6,2025-07-25
4Marla Double Storey House,Ferozepur Road,4.0,15000000.0,3750000.0,37.50 Lakh,3,3,2025-07-25
3.5 Marla New Triple Storey House Facing Park For Sale,Allama Iqbal Town,3.5,22500000.0,6428571.428571428,64.29 Lakh,4,4,2025-07-25
Good 20 Marla House For Sale In DHA Phase 5,DHA Phase 5,20.0,110000000.0,5500000.0,55.00 Lakh,5,6,2025-07-25
10 Marla House For Sale In Ravi Block Allama Iqbal Town Lahore,Allama Iqbal Town - Ravi Block,10.0,33500000.0,3350000.0,33.50 Lakh,4,4,2025-07-25
10-Marla Luxury Bungalow For Sale At Hot Location Near Wateen Chowk,DHA Phase 5 - Block D,10.0,54000000.0,5400000.0,54.00 Lakh,4,5,2025-07-25
10-Marla Luxury Bungalow For Sale At Top Location Near Wateen Chowk &Macdonald Park,DHA Phase 5,10.0,51100000.0,5110000.0,51.10 Lakh,4,5,2025-07-25
3 Marla House For Sale In Allama Iqbal Town,Allama Iqbal Town,3.0,16500000.0,5500000.0,55.00 Lakh,4,3,2025-07-25
1 Kanal Brand New - Fully Furnished - Modern Architecture - Designer House,DHA Phase 7,20.0,105000000.0,5250000.0,52.50 Lakh,5,6,2025-07-25
1 Kanal House 1 Kanal Lawn Fully Furnished Luxury Bungalow for Sale,DHA Phase 7,40.0,310000000.0,7750000.0,77.50 Lakh,5,6,2025-07-25
Luxurious 1 Kanal - Modern Bungalow In Phase 6 - Designer House,DHA Phase 6,20.0,105000000.0,5250000.0,52.50 Lakh,5,6,2025-07-25
5 Marla Near To Park Modern Design Lavish House For Sale,DHA 9 Town,5.0,21300000.0,4260000.0,42.60 Lakh,3,4,2025-07-25
3 Years Installment Plan Luxury 10 Marla Brand New House In Park View City Lahore,Park View City,10.0,31500000.0,3150000.0,31.50 Lakh,5,6,2025-07-27
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,Park View City,5.0,15000000.0,3000000.0,30.00 Lakh,4,5,2025-07-27
1 Kanal Brand New Full Furnished Modern Luxurious Bungalow For Sale Phase 6,DHA Phase 6,20.0,190000000.0,9500000.0,95.00 Lakh,5,6,2025-07-25
5 Marla Brand New A Plus Solid House For Sale And Direct Meeting With Owner In Park View City Lahore.,Park View City,5.0,16000000.0,3200000.0,32.00 Lakh,4,4,2025-07-25
Centrally Located House In Al-Ahmad Garden Housing Scheme Is Available For sale,Al-Ahmad Garden Housing Scheme,3.5,13500000.0,3857142.8571428573,38.57 Lakh,3,3,2025-07-25
3 Years Installments Plan 10 Marla Brand New House For Sale In Park View City,Park View City,10.0,31500000.0,3150000.0,31.50 Lakh,5,6,2025-07-27
3 Years Installments Plan 5 Marla Brand New House For Sale In Park View City,Park View City,5.0,16500000.0,3300000.0,33.00 Lakh,4,5,2025-07-27
VERY CLOSE TO BE CARREFOUR NEAR BY  DEFENCE RAYA,DHA Phase 7,20.0,78500000.0,3925000.0,39.25 Lakh,5,5,2025-07-25
Most Beautiful 5 Marla Home Is Waiting For You Here In DHA 9 Town,DHA 9 Town,5.0,21900000.0,4380000.0,43.80 Lakh,3,4,2025-07-25
10 Marla Luxury Premium House For Sale in C Block Phase 9 Town DHA Lahore,DHA 9 Town - Block A,10.0,45000000.0,4500000.0,45.00 Lakh,4,4,2025-07-25
5 Marla House For Sale Near To Park TOP LOCATION WITH ORIGINAL PICTURES,DHA 9 Town - Block A,5.0,24000000.0,4800000.0,48.00 Lakh,4,4,2025-07-25
GORGEOUS BRAND NEW 5 MARLA HOUSE FOR SALE IN DHA 9 TOWN LAHORE.,DHA 9 Town,5.0,19200000.0,3840000.0,38.40 Lakh,3,5,2025-07-25
8 Marla House Available For Sale ln DHA 9 Town,DHA 9 Town,8.0,28500000.0,3562500.0,35.62 Lakh,3,5,2025-07-25
4.5 Marla Brand New House Stylish Design Available For Sale In Dream Garden Phase 1,Dream Gardens Phase 1,4.5,23000000.0,5111111.111111111,51.11 Lakh,4,4,2025-07-25
Sale The Ideally Located House For An Incredible Price Of Pkr Rs. 27000000,Dream Gardens Phase 2,5.0,24000000.0,4800000.0,48.00 Lakh,4,4,2025-07-25
Ideal House For Sale In  Dream Gardens  - Block G,Dream Gardens - Block G,5.0,26000000.0,5200000.0,52.00 Lakh,4,4,2025-07-25
FULL BASEMENT EXCELLENT HOUSE TOP LOCATION,DHA Phase 7 - Block S,20.0,70000000.0,3500000.0,35.00 Lakh,6,7,2025-07-25
ULTRA MODERN GORGEOUS BRAND NEW HOUSE,DHA Phase 6 - Block L,20.0,81500000.0,4075000.0,40.75 Lakh,5,6,2025-07-27
3.25 Double Storey Marla House For Sale,Allama Iqbal Town,3.2,13700000.000000002,4281250.0,42.81 Lakh,3,4,2025-07-25
1 Kanal Bungalow - Modern Architecture - Close to DHA RAYA - DHA Phase 6,DHA Phase 6 - Block N,20.0,140000000.0,7000000.0,70.00 Lakh,5,6,2025-07-25
1 KANAL BRAND NEW CLASSICAL LUXURY VILLA FOR SALE,DHA Phase 6 - Block E,20.0,111000000.0,5550000.0,55.50 Lakh,5,6,2025-07-27
3 Marla House On Ideal Location In LDA Approved Area With Solid Construction For Sale In New Lahore City,New Lahore City,3.0,9000000.0,3000000.0,30.00 Lakh,3,3,2025-07-25
100 % ORIGINAL PICTURES ONE KANAL ORINATE HOUSE AVAILABLE FOR SALE,DHA Phase 6 - Block L,20.0,110000000.0,5500000.0,55.00 Lakh,5,6,2025-07-27
100% Original ADD 5 Marla Modern Design House For Sale,DHA 9 Town - Block C,5.0,18900000.0,3780000.0,37.80 Lakh,3,4,2025-07-25
"22 Marla Corner Double Unit Corner House for Sale Prime Location, Ideal for Living or Investment!",DHA Phase 1 - Block M,22.0,64000000.0,2909090.909090909,29.09 Lakh,6,7,2025-07-25
1 Kanal Prime Location Luxury House For Sale in K Block Phase 6 DHA Lahore,DHA Phase 6 - Block K,20.0,99900000.0,4995000.0,49.95 Lakh,7,7,2025-07-25
5 Marla Brand New Luxury House Available For Sale In 9 Town,DHA 9 Town,5.0,29500000.0,5900000.0,59.00 Lakh,3,4,2025-07-25
7 Marla Brand New House For Sale In Lake City Raiwind Road Lahore,Lake City,7.0,37000000.0,5285714.285714285,52.86 Lakh,5,6,2025-07-25
10 Marla Ultra Modern House For Sale | Park Facing | Wide Road,Lake City - Sector M-2A,10.0,57400000.0,5740000.0,57.40 Lakh,6,6,2025-07-25
10 Marla House For Sale In Formanites Near Dha Phase 5,Formanites Housing Scheme - Block N,10.0,46000000.0,4600000.0,46.00 Lakh,5,6,2025-07-25
Looking For A Corner House In Central Park - Block G Lahore,Central Park - Block G,14.0,26500000.0,1892857.142857143,18.93 Lakh,6,6,2025-07-25
Brand New House Available for Sale (Crystal Block) In Park View (Owner Meeting Possible),Park View City,5.0,17000000.0,3400000.0,34.00 Lakh,4,4,2025-07-25
6.75 Marla Full House Available For Sale In Pak Arab Phase 1 On 2.75 Crore,Pak Arab Housing Society Phase 1,6.0,27500000.0,4583333.333333333,45.83 Lakh,6,6,2025-07-25
5 Marla Brand New Perfect Location Luxury House For Sale in B Block Phase 9 Town DHA Lahore,DHA 9 Town - Block A,5.0,20900000.0,4180000.0,41.80 Lakh,3,3,2025-07-25
8 Marla Ideal Size Ideal Location Brand New Luxury House For Sale In A Block Phase 9 Town DHA Lahore,DHA 9 Town - Block A,8.0,39000000.0,4875000.0,48.75 Lakh,4,4,2025-07-25
10 Marla Full House For Sale Prime Location Faisal Town C Block,Faisal Town - Block C,10.0,41000000.0,4100000.0,41.00 Lakh,4,5,2025-07-25
One Kanal Ultra Classic Architect Designer House For Sale In Bahria Town Lahore,Bahria Town - Janiper Block,20.0,87500000.0,4375000.0,43.75 Lakh,5,7,2025-07-25
10 Marla Ultra Advance Modern Smart Features Designer Brand New House Available For Sale Meeting With Direct Owner,Bahria Town - Block DD,10.0,39900000.0,3990000.0,39.90 Lakh,5,6,2025-07-25
